65280	0	
65296	1	0
65297	2	1
65298	3	2
65299	4	3
65300	5	4
65301	6	5
65302	7	6
65303	8	7
65304	9	8
65305	10	9
65313	11	A
65314	12	B
65315	13	C
65316	14	D
65317	15	E
65318	16	F
65319	17	G
65320	18	H
65321	19	I
65322	20	J
65323	21	K
65324	22	L
65325	23	M
65326	24	N
65327	25	O
65328	26	P
65329	27	Q
65330	28	R
65331	29	S
65332	30	T
65333	31	U
65334	32	V
65335	33	W
65336	34	X
65337	35	Y
65338	36	Z
65290	37	*
65293	38	-
65294	39	.
65343	40	_
65342	41	^
65292	42	,
65295	43	/
65283	44	#
36716	45	转
